box_code,box_version,engine_name,cboot_version,asw_version,cal_version,ecm3_address_start,ecm3_address_end,allowed_boxcodes
03F906070GA,5413,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GB,2677,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GB,5554,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GC,2661,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GC,5426,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GD,2686,SIMOS10.22,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GD,5466,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GE,2671,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GE,5438,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GF,2699,SIMOS10.22,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GF,5487,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070GG,2653,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070GG,5414,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070HE,2684,SIMOS10.22,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070HE,3636,SIMOS10.22,SA391,SA391O10,SA300O10,160419311,-2149318656,[]
03F906070HE,5459,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070HF,2698,SIMOS10.22,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070HF,5489,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070HG,2664,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070HG,5427,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070J,8722,SIMOS10.12,SA381,SA381I23,SA300I23,35144,37372,[]
03F906070J,9452,SIMOS10.12,SA390,SA390K30,SA300K30,35936,38168,[]
03F906070J,9663,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070J,9970,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JD,2663,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070JD,3615,SIMOS10.12,SA391,SA391O10,SA300O10,160419311,-2149318656,[]
03F906070JD,5428,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JF,2656,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070JF,5417,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JG,2657,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070JG,5418,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JK,2682,SIMOS10.13,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070JK,5452,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JR,2681,SIMOS10.12,SA391,SA391M20,SA300M20,36448,38716,[]
03F906070JR,5446,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JS,5460,SIMOS10.23,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070JT,5488,SIMOS10.23,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KA,8646,SIMOS10.12,SA391,SA391O80,SA300O80,160419311,-2149318656,[]
03F906070KC,6270,SIMOS10.22,SA391,SA391O65,SA300O65,160419311,-2149318656,[]
03F906070KJ,5415,SIMOS10.13,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KK,5416,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KL,5449,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KM,5454,SIMOS10.12,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KS,5467,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070KT,5490,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070LA,5457,SIMOS10.22,SA391,SA391O60,SA300O60,160419311,-2149318656,[]
03F906070LG,8482,SIMOS10.12,SA391,SA391O70,SA300O70,160419311,-2149318656,[]
06K906070AA,8051,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070A', '06K906070AA', '06K907425', '06K997070J']"
06K906070AA,8098,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070A', '06K906070AA', '06K907425', '06K997070J']"
06K906070AA,9347,R4 2.0l TFS,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070A', '06K906070AA', '06K907425', '06K997070J']"
06K906070AB,8045,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070AB', '06K906070B', '06K907425', '06K997070C']"
06K906070AB,8092,Simos12.2,SC2A0E30,SC2A0EC0,SC200EC0,52424,58112,"['06K906070AB', '06K906070B', '06K907425', '06K997070C']"
06K906070AB,9344,R4 2.0l TFS,SC2A0E30,SC2A0EC0,SC200EC0,52424,58112,"['06K906070AB', '06K906070B', '06K907425', '06K997070C']"
06K906070AC,8050,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070AC', '06K906070C', '06K907425', '06K997070H']"
06K906070AC,8097,Simos12.2,SC2A0E30,SC2A0EC0,SC200EC0,52424,58112,"['06K906070AC', '06K906070C', '06K907425', '06K997070H']"
06K906070AC,9346,R4 2.0l TFS,SC2A0E30,SC2A0EC0,SC200EC0,52424,58112,"['06K906070AC', '06K906070C', '06K907425', '06K997070H']"
06K906070D,6864,Simos12.2,SC2C0G00,SC2C0G51,SC200G51,52288,60092,"['06K906070D', '06K907425']"
06K906070D,7650,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070D', '06K907425', '06K997070L']"
06K906070D,8053,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070D', '06K907425', '06K997070L']"
06K906070D,9361,R4 1.8l TFS,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070D', '06K907425', '06K997070L']"
06K906070F,6865,Simos12.2,SC2C0G00,SC2C0G51,SC200G51,52288,60092,"['06K906070F', '06K907425']"
06K906070F,7649,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070F', '06K907425', '06K997070K']"
06K906070F,8052,Simos12.2,SC2C0G00,SC2C0G80,SC200G80,52600,60404,"['06K906070F', '06K907425', '06K997070K']"
06K906070F,9360,R4 1.8l TFS,SC2C0G00,SC2C0G80,SC200G80,52600,60404,"['06K906070F', '06K907425', '06K997070K']"
06K906070F,9360,R4 1.8l TFS,SC2C0G00,SC2C0G80,SC200G80,52600,60404,[]
06K906070H,6866,Simos12.2,SC2C0G00,SC2C0G51,SC200G51,52288,60092,"['06K906070H', '06K907425']"
06K906070H,7652,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070H', '06K907425', '06K997070N']"
06K906070H,8055,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070H', '06K907425', '06K997070N']"
06K906070H,9365,R4 1.8l TFS,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070H', '06K907425', '06K997070N']"
06K906070J,6867,Simos12.2,SC2C0G00,SC2C0G51,SC200G51,52288,60092,"['06K906070J', '06K907425']"
06K906070J,7651,Simos12.2,SC2C0G00,SC2C0G70,SC200G70,52576,60380,"['06K906070J', '06K907425', '06K997070M']"
06K906070J,8054,Simos12.2,SC2C0G00,SC2C0G80,SC200G80,52600,60404,"['06K906070J', '06K907425', '06K997070M']"
06K906070J,9364,R4 1.8l TFS,SC2C0G00,SC2C0G80,SC200G80,52600,60404,"['06K906070J', '06K907425', '06K997070M']"
06K906070K,8044,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070K', '06K907425', '06K997070B']"
06K906070K,8091,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070K', '06K907425', '06K997070B']"
06K906070L,8043,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070L', '06K907425', '06K997070A']"
06K906070L,8090,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070L', '06K907425', '06K997070A']"
06K906070M,8042,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070M', '06K907425', '06K997070']"
06K906070M,8089,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070M', '06K907425', '06K997070']"
06K906070N,8048,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070N', '06K907425', '06K997070F']"
06K906070N,8095,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070N', '06K907425', '06K997070F']"
06K906070P,8047,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070P', '06K907425', '06K997070E']"
06K906070P,8094,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070P', '06K907425', '06K997070E']"
06K906070R,8049,Simos12.2,SC2A0E30,SC2A0EB0,SC200EB0,52420,58108,"['06K906070R', '06K907425', '06K997070G']"
